Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Mobile,,,,2022-12-21 17:58:25,2022-12-21 18:01:35,3m - 10.195s,PASSED
,,,,,,,
Test Cases/TC01_RegisterUser,,,,2022-12-21 17:58:25,2022-12-21 17:59:43,1m - 17.980s,PASSED
"startApplication(""C:\Users\shida\Downloads\app.apk"", true)",,,,2022-12-21 17:58:27,2022-12-21 17:59:17,50.094s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.Button""), 0)",,,,2022-12-21 17:59:17,2022-12-21 17:59:18,1.629s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Username""), 0)",,,,2022-12-21 17:59:18,2022-12-21 17:59:20,1.532s,PASSED
"setText(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - UsernameUsername""), ""mobiletesting02"", 0)",,,,2022-12-21 17:59:20,2022-12-21 17:59:22,1.924s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Name""), 0)",,,,2022-12-21 17:59:22,2022-12-21 17:59:23,0.920s,PASSED
"setText(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - NameName""), ""mobile-qe"", 0)",,,,2022-12-21 17:59:23,2022-12-21 17:59:24,1.376s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Email Address""), 0)",,,,2022-12-21 17:59:24,2022-12-21 17:59:25,1.045s,PASSED
"setText(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Email AddressEmail Address""), ""mobiletesting@gmail.com"", 0)",,,,2022-12-21 17:59:25,2022-12-21 17:59:26,0.992s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Password""), 0)",,,,2022-12-21 17:59:26,2022-12-21 17:59:27,0.911s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - PasswordPassword""), ""mrBegcMWHNUPJ3RVAwNp6g=="", 0)",,,,2022-12-21 17:59:27,2022-12-21 17:59:28,1.083s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.Button (1)""), 0)",,,,2022-12-21 17:59:28,2022-12-21 17:59:29,0.819s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Confirm Password""), 0)",,,,2022-12-21 17:59:29,2022-12-21 17:59:30,1.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.EditText - Confirm PasswordConfirm Password""), ""mrBegcMWHNUPJ3RVAwNp6g=="", 0)",,,,2022-12-21 17:59:30,2022-12-21 17:59:31,1.093s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.Button (2)""), 0)",,,,2022-12-21 17:59:31,2022-12-21 17:59:32,1.054s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.ScrollView""), 0)",,,,2022-12-21 17:59:32,2022-12-21 17:59:33,0.919s,PASSED
hideKeyboard(),,,,2022-12-21 17:59:33,2022-12-21 17:59:38,5.236s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.Button (3)""), 0)",,,,2022-12-21 17:59:38,2022-12-21 17:59:39,0.596s,PASSED
"tap(findTestObject(""Object Repository/TC01_RegisterUser/android.widget.Button (4)""), 0)",,,,2022-12-21 17:59:39,2022-12-21 17:59:40,0.966s,PASSED
closeApplication(),,,,2022-12-21 17:59:40,2022-12-21 17:59:43,3.449s,PASSED
,,,,,,,
Test Cases/TC02_LoginUser,,,,2022-12-21 17:59:43,2022-12-21 18:00:29,45.899s,PASSED
"startApplication(""C:\Users\shida\Downloads\app.apk"", true)",,,,2022-12-21 17:59:45,2022-12-21 18:00:14,29.682s,PASSED
"tap(findTestObject(""Object Repository/TC02_LoginUser/android.widget.EditText - Username  Email""), 0)",,,,2022-12-21 18:00:14,2022-12-21 18:00:20,5.844s,PASSED
"setText(findTestObject(""Object Repository/TC02_LoginUser/android.widget.EditText - Username  EmailUsername  Email""), ""mobiletesting@gmail.com"", 0)",,,,2022-12-21 18:00:20,2022-12-21 18:00:22,1.714s,PASSED
"tap(findTestObject(""Object Repository/TC02_LoginUser/android.widget.EditText - Password""), 0)",,,,2022-12-21 18:00:22,2022-12-21 18:00:23,1.035s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC02_LoginUser/android.widget.EditText - PasswordPassword""), ""mrBegcMWHNUPJ3RVAwNp6g=="", 0)",,,,2022-12-21 18:00:23,2022-12-21 18:00:24,1.148s,PASSED
"tap(findTestObject(""Object Repository/TC02_LoginUser/android.widget.Button""), 0)",,,,2022-12-21 18:00:24,2022-12-21 18:00:25,1.085s,PASSED
"tap(findTestObject(""Object Repository/TC02_LoginUser/android.widget.ScrollView""), 0)",,,,2022-12-21 18:00:25,2022-12-21 18:00:28,2.383s,PASSED
closeApplication(),,,,2022-12-21 18:00:28,2022-12-21 18:00:29,1.854s,PASSED
,,,,,,,
Test Cases/TC03_UsercreateThread,,,,2022-12-21 18:00:29,2022-12-21 18:01:35,1m - 5.321s,PASSED
"startApplication(""C:\Users\shida\Downloads\app.apk"", true)",,,,2022-12-21 18:00:30,2022-12-21 18:00:58,28.186s,PASSED
"tap(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - Username  Email""), 0)",,,,2022-12-21 18:00:58,2022-12-21 18:01:20,21.353s,PASSED
"setText(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - Username  EmailUsername  Email""), ""mobiletesting@gmail.com"", 0)",,,,2022-12-21 18:01:20,2022-12-21 18:01:22,1.713s,PASSED
"tap(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - Password""), 0)",,,,2022-12-21 18:01:22,2022-12-21 18:01:22,0.996s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - PasswordPassword""), ""mrBegcMWHNUPJ3RVAwNp6g=="", 0)",,,,2022-12-21 18:01:22,2022-12-21 18:01:24,1.463s,PASSED
"tap(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.Button""), 0)",,,,2022-12-21 18:01:24,2022-12-21 18:01:25,0.937s,PASSED
"tap(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.Button (1)""), 0)",,,,2022-12-21 18:01:25,2022-12-21 18:01:27,2.291s,PASSED
"tap(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - Add an interesting title""), 0)",,,,2022-12-21 18:01:27,2022-12-21 18:01:28,1.121s,PASSED
"setText(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - Add an interesting title (1)""), ""Prospek gaji programmer tahun 3000, Bikin kamu joget"", 0)",,,,2022-12-21 18:01:28,2022-12-21 18:01:30,1.643s,PASSED
"tap(findTestObject(""Object Repository/TC03_UserCreateThread/android.widget.EditText - Write something""), 0)",,,,2022-12-21 18:01:30,2022-12-21 18:01:31,0.783s,PASSED
